GEOID,vics,off,GST.interest,n,hateful_tweets,users,hateful_users,sent_neg,sent_neu,sent_pos,sent_neg_sum,sent_neu_sum,sent_pos_sum,sent_compound,monthly_variation,weekly_variation,ALB,pop2020,tweets_rate,hateful_tweets_prop,hateful_tweets_rate,tweets_per_user,user_rate,hateful_tweets_per_user,hateful_tweets_per_hateful_users,vics_rate,off_rate,vics_off,pc1,pc2,pc3
13271,0,0,0.292834891,47,0,16,0,0.079851064,0.818531915,0.101638298,3.753,38.471,4.777,0.123476596,0.833333333,0.8,2,15871,0.002961376,0,0,2.764705882,0.001008128,0,0,0,0,0,0.128659645,0.151425042,0.118497918
13291,0,0,0.473520249,54,0,28,0,0.027,0.851037037,0.121944444,1.458,45.956,6.585,0.315318519,0.875,0.75,2,23999,0.002250094,0,0,1.862068966,0.001166715,0,0,0,0,0,0.112291228,0.137188113,0.131985075
13305,0,0,0.386292835,229,3,61,3,0.081834061,0.801611354,0.116537118,18.74,183.569,26.687,0.097866376,0.943396226,0.947368421,2,29959,0.00764378,0.013043478,0.000100137,3.693548387,0.002036116,0.048387097,0.75,0,0,0,0.313315589,0.175241968,0.040015504
13319,0,0,0.292834891,7,0,5,0,0.066571429,0.819714286,0.113571429,0.466,5.738,0.795,0.201785714,0.5,0,2,8945,0.00078256,0,0,1.166666667,0.000558971,0,0,0,0,0,-0.676926409,0.023176381,0.295570386
16015,0,0,0.495327103,23,0,15,0,0.045782609,0.815130435,0.139086957,1.053,18.748,3.199,0.327513043,0.833333333,0.5,3,7625,0.003016393,0,0,1.4375,0.001967213,0,0,0,0,0,-0.150983401,0.431967766,0.157035075
16023,0,0,0.395638629,3,0,3,0,0,0.920666667,0.079333333,0,2.762,0.238,0.3074,0.5,0,3,2603,0.001152516,0,0,0.75,0.001152516,0,0,0,0,0,-0.735600497,0.342715981,0.306090421
16025,0,0,0.495327103,1,0,1,0,0.176,0.761,0.064,0.176,0.761,0.064,-0.7456,0,0,3,1069,0.000935454,0,0,0.5,0.000935454,0,0,0,0,0,-1.000450358,0.291963167,-0.215007212
16027,0,0,0.495327103,4329,31,694,23,0.086206283,0.813110649,0.100678679,373.187,3519.956,435.838,0.047589559,0.527827648,0.736842105,3,223890,0.019335388,0.007159353,0.000138461,6.228776978,0.003099736,0.044604317,1.291666667,0,0,0,-0.144274633,0.427778033,-0.107370546
16037,0,0,0.395638629,21,0,12,0,0.010857143,0.876428571,0.112714286,0.228,18.405,2.367,0.3438,0.8,0.75,3,4193,0.005008347,0,0,1.615384615,0.002861913,0,0,0,0,0,0.00868983,0.461027575,0.154539478
16039,0,0,0.495327103,334,2,79,2,0.075976048,0.806191617,0.117826347,25.376,269.268,39.354,0.161066467,0.766666667,0.97826087,3,27043,0.012350701,0.005970149,7.40E-05,4.175,0.002921274,0.025,0.666666667,0,0,0,0.175812006,0.48061086,-0.075639246
16043,0,0,0.395638629,400,7,36,1,0.1222875,0.7997375,0.0779475,48.915,319.895,31.179,-0.23586025,0.991071429,0.983333333,3,13111,0.030508733,0.017456359,0.000533903,10.81081081,0.002745786,0.189189189,3.5,0,0,0,0.34168974,0.515861985,-0.108283394
16061,0,0,0.663551402,3,0,2,0,0,0.926333333,0.073666667,0,2.779,0.221,0.175566667,0,0,3,3850,0.000779221,0,0,1,0.000519481,0,0,0,0,0,-1.031974149,0.27220687,0.003223708
16063,0,0,0.339563863,2,0,2,0,0,0.8795,0.1205,0,1.759,0.241,0.44395,0,0,3,5342,0.000374392,0,0,0.666666667,0.000374392,0,0,0,0,0,-1.048361834,0.2899351,0.213278298
16085,0,0,0.495327103,34,1,29,1,0.028029412,0.827294118,0.144676471,0.953,28.128,4.919,0.350120588,0.916666667,0.8,3,11085,0.003067208,0.028571429,9.02E-05,1.133333333,0.002616148,0.033333333,0.5,0,0,0,0.124432886,0.474607919,0.101835863
19175,0,0,0.352024922,280,3,48,2,0.061385714,0.805460714,0.133171429,17.188,225.529,37.288,0.224771071,0.775510204,0.944444444,2,12303,0.022758677,0.010676157,0.000243843,5.714285714,0.003901487,0.06122449,1,0,0,0,0.205631505,0.157199289,0.034636034
20053,0,0,0.442367601,69,0,20,0,0.084057971,0.840507246,0.075463768,5.8,57.995,5.207,-0.01263913,0.961538462,0.909090909,2,6176,0.01117228,0,0,3.285714286,0.003238342,0,0,0,0,0,0.298423044,0.17005018,0.014337373
20095,0,0,0.442367601,39,0,17,0,0.060974359,0.865974359,0.073025641,2.378,33.773,2.848,0.027576923,0.777777778,0.75,2,7173,0.005437056,0,0,2.166666667,0.002369999,0,0,0,0,0,0.062476948,0.130646947,0.041348561
